BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
HABRA-II,Fruits,2013,7,3,Banana,"NORTH 24 PARGANAS","Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","Thrips and Lace wing bugs IN BANANA","SPRAY Monocrotophos 36 WSC  1 mllit OF WATER",22.6927,88.6626
BAKHTIARPUR,Fruits,2014,6,24,Banana,PATNA,nan,nan,HORTICULTURE,BIHAR,"Thrips and Lace wing bugs","Spray Methyl demeton 20 EC  2 mllit",25.6093,85.1235
GADHPURA,Fruits,2014,4,2,Banana,BEGUSARAI,"Plant Protection",KHARIF,HORTICULTURE,BIHAR,"Thrips and Lace wing bugs","Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllit",25.5125,86.0883
KHARIK,Fruits,2014,6,18,Banana,BHAGALPUR,nan,nan,HORTICULTURE,BIHAR,"Thrips and Lace wing bugs in banana","Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllit",25.2861,87.1304
BAUSI,Fruits,2014,4,21,Banana,BANKA,nan,KHARIF,HORTICULTURE,BIHAR,"Thrips and Lace wing bugs","Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllit",24.8328,86.8161
DAGRAUA,Fruits,2014,4,10,Banana,PURNEA,nan,nan,HORTICULTURE,BIHAR,"Thrips and Lace wing bugs ","Spray Methyl demeton 20 EC  2 mllit or Monocrotophos 36 WSC  1 mllit or Phosphamidon 40 SL  2mllit",25.7774,87.4731
JAMKHED,Fruits,2014,10,18,Banana,AHMADNAGAR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",19.0744,74.722
KARJAT,Fruits,2014,11,25,Banana,AHMADNAGAR,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Actra 5 Gram  Karate 15 ML  15 Liter Water",19.0744,74.722
INDAPUR,Fruits,2014,8,7,Banana,PUNE,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",18.5214,73.8545
PANDHARPUR,Fruits,2014,4,1,Banana,SOLAPUR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"thrips control","spray rijent 20 mili pamp water",17.8499,75.2763
MALSHIRAS,Fruits,2014,4,16,Banana,SOLAPUR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",17.8499,75.2763
PALAM,Fruits,2014,5,4,Banana,PARBHANI,nan,KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of Thrips","Spray Actra 5 gm15 Lit of Water",19.2902,76.6026
PATHRI,Fruits,2014,12,15,Banana,PARBHANI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"banana atac thrips","Spray Confidor super  Confidor 10ml15 Lit of Water",19.2902,76.6026
CHIKHLI,Fruits,2014,5,12,Banana,BULDANA,nan,nan,HORTICULTURE,MAHARASHTRA,thrips,"236023662351234623522350237523412381235223682344 2337237523542381233523662350237523412381235223682344 2350237923442379232523812352237923352379234723772360 2309234823662350237523252381233523682344 233723662351235023752341237923192335 234123662351235023752341237723252381233323662350 23512366 2346237623252367 23192325236623302368 234723572366235223392368 232823812351236623572368 23322350236723442368234023692344 2325236623522381234823792347238123512369235223772344 233523662325236623572375",20.5628,76.4087
KANAS,Fruits,2014,9,28,Banana,PURI,"Plant Protection",nan,HORTICULTURE,ODISHA,"THRIPS IN BANANA","RECOMMENDED TO SPRAY METHYL DEMETON 20EC  2 ML  LITRE WATER TO CONTROL THRIPS IN BANANA",19.8076,85.8253
JHUNJHUNUN,Fruits,2014,9,28,Banana,JHUNJHUNU,"Plant Protection",KHARIF,HORTICULTURE,RAJASTHAN,"thrips in banana","SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER",28.0811,75.3792
