BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Fruits,2013,1,30,Mango,SANGLI,75,nan,HORTICULTURE,MAHARASHTRA,"thrips control of mango crop","use phepronil 20mlpump",17.1727,74.5868
TASGAON,Fruits,2013,5,9,Mango,SANGLI,nan,nan,HORTICULTURE,MAHARASHTRA,thrips,actra,17.1727,74.5868
TASGAON,Fruits,2013,6,13,Mango,SANGLI,nan,nan,HORTICULTURE,MAHARASHTRA,thrips,"regenet 2mllit",17.1727,74.5868
SHIRALA,Fruits,2013,12,9,Mango,SANGLI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,thrips,actra,17.1727,74.5868
"SOUTH  SOLAPUR",Fruits,2013,2,21,Mango,SOLAPUR,76,nan,HORTICULTURE,MAHARASHTRA,thrips,"regent 2mllit",17.8499,75.2763
PANDHARPUR,Fruits,2013,3,20,Mango,SOLAPUR,76,nan,HORTICULTURE,MAHARASHTRA,"thrips control of mango crop","23522367233223752306233523302368 234723572366235223392368 232523522366 20mlpump",17.8499,75.2763
"0   ",Fruits,2013,2,13,Mango,KOLHAPUR,76,RABI,HORTICULTURE,MAHARASHTRA,thrips,imida,16.7028,74.2405
BADNAPUR,Fruits,2013,3,6,Mango,JALNA,76,KHARIF,HORTICULTURE,MAHARASHTRA,thrips,"regene 2mllit",19.9188,75.8709
BHOKARDAN,Fruits,2013,5,13,Mango,JALNA,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Thrips Attack ","Spray Actra 5 gm15 Lit of Water",19.9188,75.8709
JINTUR,Fruits,2013,4,4,Mango,PARBHANI,nan,RABI,HORTICULTURE,MAHARASHTRA,"Attact of Thrips ","Sprey Actra 10 gm  Regent 20 ml  Folicure 15 ml  15 lit of water",19.2902,76.6026
PATHRI,Fruits,2013,12,7,Mango,PARBHANI,nan,nan,HORTICULTURE,MAHARASHTRA,thrips,"2360236923462352 232523792344238123472367233723792352 232523792344238123472367233723792352 15 2350236723542368152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",19.2902,76.6026
"0   ",Fruits,2013,1,8,Mango,BEED,76,nan,HORTICULTURE,MAHARASHTRA,"thrips control on mango","use regent 20mlpump",18.9918,75.9098
"0   ",Fruits,2013,1,8,Mango,BEED,76,nan,HORTICULTURE,MAHARASHTRA,"aphids thrips",actra,18.9918,75.9098
"0   ",Fruits,2013,1,26,Mango,BEED,76,nan,HORTICULTURE,MAHARASHTRA,"THRIPS CONTROL ON MANGO CTROP","USE REGENT 10MLPUMP",18.9918,75.9098
KALAMB,Fruits,2013,1,30,Mango,OSMANABAD,76,nan,HORTICULTURE,MAHARASHTRA,"attack of thrips on mango for dusting","use methyl parathion",18.2822,76.0588
BHOOM,Fruits,2013,3,18,Mango,OSMANABAD,76,nan,HORTICULTURE,MAHARASHTRA,"thrips control of mango crop","use actra 3grampump",18.2822,76.0588
"0   ",Fruits,2013,2,19,Mango,LATUR,76,nan,HORTICULTURE,MAHARASHTRA,thrips,"regent 2mllit",18.3553,76.7549
AHEMADPUR,Fruits,2013,12,25,Mango,LATUR,nan,nan,HORTICULTURE,MAHARASHTRA,"attack of thrips on mango","23102306234823812351236623572352 2341238123522368234623812360 - 2348236623512379 23102352 240924062409 24072406 2350236723542368  10 2354236723352352  234623662339238123512366234023702344 234723572366235223392368 232523522366",18.3553,76.7549
"0   ",Fruits,2013,3,1,Mango,YEVATMAL,76,JAYAD,HORTICULTURE,MAHARASHTRA,"ATTACK OF THRIPS",REEGENT,18.9068,75.6742
HINGOLI,Fruits,2013,3,23,Mango,HINGOLI,0,nan,HORTICULTURE,MAHARASHTRA,thrips,confidor,19.5431,77.1739
BASMAT,Fruits,2013,9,18,Mango,HINGOLI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"attack of thrips on mango","23102306234823812351236623572352 2340236923372340236923372375 231023392367 234023462325236723522368 233723662327 - 2360236923462352 232523792344238123472367233723792352 10 2350236723542368  23192350-45 3023272381235223732350 102354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",19.5431,77.1739
BAGIDORA,Fruits,2013,10,5,Mango,BANSWARA,nan,nan,HORTICULTURE,RAJASTHAN,"TELL ME THRIPS IN MANGO","ACHIPHATE 2  GRAM  LITTER WATER SPRAY",23.4915,74.3502
"CHHOTI SADRI",Fruits,2013,6,24,Mango,CHITTAURGARH,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"THRIPS IN MANGO","2 GRAM IMIDA 2 GRM MENKOZEB PRE LITER WATER SPREY",24.5,74.5
